"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026011.13_Ctla4","Ctla4",148.276826196666,2.71010265480281,0.385921043869167,7.0224277682084,2.18045737711552e-12,2.0013084557914e-10
"ENSMUSG00000035158.15_Mitf","Mitf",3451.75435535616,-1.7449619990028,0.371914341395499,-4.6918384283202,2.70760925435168e-06,3.87708691536066e-05
"ENSMUSG00000005994.14_Tyrp1","Tyrp1",12805.6839916708,-3.29593650247441,0.805435926307608,-4.09211508305087,4.27456408022759e-05,0.000380354089389943
"ENSMUSG00000025359.10_Pmel","Pmel",10295.9671654231,-3.59403351248968,0.992436021304971,-3.62142590084933,0.000292983726098464,0.00171545774262448
"ENSMUSG00000025333.10_Gpr143","Gpr143",90.6024048923838,-3.876081028017,1.1917577553167,-3.25240680056407,0.00114432116607691,0.00492974087837347
"ENSMUSG00000033006.10_Sox10","Sox10",4489.59884663587,-0.61031055512692,0.190945831320306,-3.19624969504122,0.00139226568109335,0.00572075301717818
"ENSMUSG00000074037.3_Mc1r","Mc1r",619.074652134067,-1.56092575562758,0.48901313529163,-3.19199146807519,0.00141295506269694,0.00577869585648667
"ENSMUSG00000024806.4_Mlana","Mlana",958.852157475471,-2.92929215584242,0.99147770801532,-2.95447102053974,0.00313205567560224,0.0107897609630492
"ENSMUSG00000004651.6_Tyr","Tyr",4447.38381861569,-3.09861306827845,1.12233890920849,-2.76085328848101,0.00576505676253755,0.0174893818834302
"ENSMUSG00000022129.4_Dct","Dct",31442.4021143532,-2.85393255683055,1.19325495780099,-2.39172067811054,0.0167695993187575,0.0410173696442686
"ENSMUSG00000005672.12_Kit","Kit",387.167685106794,-0.25363668610208,0.169007690723477,-1.5007404989461,0.133422693758878,0.218593184766551
