"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000022129.4_Dct","Dct",31442.4021143532,5.4523900028969,1.11799932315162,4.87691708750477,1.07756701532703e-06,0.000801171075895646
"ENSMUSG00000004651.6_Tyr","Tyr",4447.38381861569,4.57122030865662,1.05307211284954,4.34084261930287,1.41937361426018e-05,0.00278759621713852
"ENSMUSG00000025359.10_Pmel","Pmel",10295.9671654231,3.92198879674376,0.930281017817045,4.21591833180357,2.4876378128177e-05,0.00359636416578047
"ENSMUSG00000024806.4_Mlana","Mlana",958.852157475471,2.91066733767036,0.931523238859848,3.12463201801913,0.00178027615054833,0.0246712419322331
"ENSMUSG00000033006.10_Sox10","Sox10",4489.59884663587,0.44601203948782,0.179035203548397,2.49119743295208,0.0127313351847564,0.0726338547208163
"ENSMUSG00000074037.3_Mc1r","Mc1r",619.074652134067,1.13973127841147,0.45946955997311,2.48053707513979,0.0131184620411247,0.0740510148514463
"ENSMUSG00000005994.14_Tyrp1","Tyrp1",12805.6839916708,1.80226248239391,0.754514200286661,2.38863957989019,0.016910883222043,0.0850326000242634
"ENSMUSG00000025333.10_Gpr143","Gpr143",90.6024048923838,2.66263276845132,1.15199288720954,2.31132743788115,0.0208147755845784,0.0959101368126945
"ENSMUSG00000035158.15_Mitf","Mitf",3451.75435535616,0.630962575378626,0.348593210810867,1.8100254273769,0.0702918440884083,0.199800056012081
"ENSMUSG00000026011.13_Ctla4","Ctla4",148.276826196666,-0.573877169119004,0.348741617209158,-1.64556548688257,0.0998532496848282,0.2477350675651
"ENSMUSG00000005672.12_Kit","Kit",387.167685106794,-0.17203315974375,0.159180846282779,-1.0807403262459,0.279812639509974,0.47432127101365
