"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000016283.13_H2-M2","H2-M2",946.795788993106,6.10020366428532,0.570611142756166,10.6906493883385,1.12579939768946e-26,1.33317164674386e-22
"ENSMUSG00000055067.15_Smyd3","Smyd3",525.627577671988,-1.50377025030404,0.140222741487662,-10.7241538308988,7.84013601471509e-27,1.33317164674386e-22
"ENSMUSG00000026009.14_Icos","Icos",228.868409772081,4.35061201879514,0.42421964855448,10.2555646199316,1.11721148645927e-24,8.82001228176712e-21
"ENSMUSG00000029417.9_Cxcl9","Cxcl9",4886.13312311318,4.15484593197712,0.406985361835084,10.2088338343253,1.81027404232402e-24,1.07186326046005e-20
"ENSMUSG00000038156.16_Spon1","Spon1",3145.97962920313,2.25523159215755,0.22353626885216,10.0888844738171,6.18685844573477e-24,2.93059110857565e-20
"ENSMUSG00000022126.6_Acod1","Acod1",748.586565486928,6.10807949932009,0.613405548397268,9.95765283714753,2.33510444024902e-23,9.21743559380963e-20
"ENSMUSG00000105096.1_Gbp10","Gbp10",797.550682851354,4.77142575680863,0.495336495737697,9.63269574898296,5.81826863852623e-22,1.96856963478365e-18
"ENSMUSG00000035186.6_Ubd","Ubd",232.139842712621,6.01538072515376,0.626305195678257,9.60455184894228,7.64899463609638e-22,2.26448486201633e-18
"ENSMUSG00000005763.15_Cd247","Cd247",124.866707816113,3.62513278528848,0.379736068637921,9.54645366791599,1.34211959982818e-21,3.53186228914784e-18
"ENSMUSG00000045868.12_Gvin1","Gvin1",11083.5266374016,3.32369379044834,0.349437467643609,9.51155528015152,1.87832952673089e-21,4.44863565110943e-18
"ENSMUSG00000063354.7_Slc39a4","Slc39a4",103.09084865004,4.23448736871264,0.447226635330542,9.46832552936601,2.84365431840853e-21,6.12264626156251e-18
"ENSMUSG00000041954.18_Tnfrsf18","Tnfrsf18",134.741314292008,3.02451620473076,0.32116058067811,9.41745776628218,4.62141561653523e-21,9.12113395516836e-18
"ENSMUSG00000028270.12_Gbp2","Gbp2",9489.63418768475,3.87010080436146,0.411448128693206,9.40604789394286,5.15142988780591e-21,9.38511272790732e-18
"ENSMUSG00000105504.4_Gbp5","Gbp5",1355.07477225579,3.63491004510058,0.388232381000925,9.36271733885052,7.77118596123817e-21,1.31466263075689e-17
"ENSMUSG00000056290.16_Ms4a4b","Ms4a4b",540.361487039486,3.89979753597019,0.419286845150361,9.30102525532773,1.39097844861428e-20,2.19626223846538e-17
"ENSMUSG00000030187.15_Klra2","Klra2",332.529983555481,3.42851296475739,0.36906628487267,9.28969430502233,1.54732086264836e-20,2.29042170693524e-17
"ENSMUSG00000047842.7_Diras2","Diras2",162.831644203117,-4.17523761341407,0.451030835423837,-9.25710014813191,2.10059569657609e-20,2.62705435614664e-17
"ENSMUSG00000078606.8_Gm4070","Gm4070",9935.24189983871,3.34490557510502,0.361347740735952,9.25674965697169,2.1075001168209e-20,2.62705435614664e-17
"ENSMUSG00000104713.4_Gbp6","Gbp6",6364.21592101894,3.37806824214949,0.364789942261482,9.26031080025798,2.03837999288064e-20,2.62705435614664e-17
"ENSMUSG00000023274.14_Cd4","Cd4",397.254348256365,3.0420127435066,0.330434127292731,9.2061094549465,3.38159599697484e-20,3.81379617106439e-17
"ENSMUSG00000038179.13_Slamf7","Slamf7",1028.32685186107,3.92593151547426,0.42624945810606,9.21040822648365,3.2488697281421e-20,3.81379617106439e-17
"ENSMUSG00000022586.11_Ly6i","Ly6i",718.939084196789,7.30536807917988,0.797218766369728,9.16356762704686,5.02093185937999e-20,5.17025000685025e-17
"ENSMUSG00000030167.15_Klrc1","Klrc1",317.04555202485,4.99636285154594,0.545172347958388,9.16474005010853,4.96665325780275e-20,5.17025000685025e-17
"ENSMUSG00000024737.2_Slc15a3","Slc15a3",931.249485306381,3.31740442513104,0.363135110947847,9.1354548902529,6.51323703195036e-20,6.42747941102968e-17
"ENSMUSG00000027347.18_Rasgrp1","Rasgrp1",607.251753220419,3.02008912106839,0.33142865995363,9.11233543137438,8.06273254343844e-20,7.63831030235184e-17
"ENSMUSG00000027398.13_Il1b","Il1b",373.814381703684,5.32156454308647,0.58481843976823,9.0995156465919,9.073556523233e-20,8.26531202677886e-17
"ENSMUSG00000079186.3_Gzmc","Gzmc",962.83758166034,6.14930139262991,0.676458858760086,9.09042924487863,9.86488147561321e-20,8.65332788401568e-17
"ENSMUSG00000031304.18_Il2rg","Il2rg",950.134995696364,3.08468051149858,0.339905223228501,9.07511947653983,1.13552852030715e-19,9.60494909819802e-17
"ENSMUSG00000060586.11_H2-Eb1","H2-Eb1",18293.5400503942,3.73500026704284,0.411964917326893,9.06630664396872,1.23119611393617e-19,9.71988292082144e-17
"ENSMUSG00000063286.7_Gm8995","Gm8995",4360.71432962246,3.1500451273648,0.347442360873102,9.06638188690902,1.23034652863774e-19,9.71988292082144e-17
"ENSMUSG00000032172.8_Olfm2","Olfm2",47.9893775585248,-5.00958667923235,0.55611550124095,-9.0081766612397,2.09510669840946e-19,1.60066151758483e-16
"ENSMUSG00000034998.18_Foxn2","Foxn2",861.828053709103,0.76444453825249,0.085029059085037,8.99039159645379,2.46351100692016e-19,1.79677401307393e-16
"ENSMUSG00000048852.13_Gm12185","Gm12185",267.157564844206,3.09121658238221,0.343903334256929,8.98862056415181,2.5035273784597e-19,1.79677401307393e-16
"ENSMUSG00000053318.7_Slamf8","Slamf8",705.288485242915,4.03050341405156,0.449057061242988,8.97548165236539,2.82114734545183e-19,1.96517805087298e-16
"ENSMUSG00000024669.8_Cd5","Cd5",160.59094565884,3.65114557824011,0.407065739814486,8.9694248892183,2.98066643688284e-19,2.01697439688952e-16
"ENSMUSG00000024399.5_Ltb","Ltb",251.493764306083,3.54796715235967,0.398533457770693,8.90255782339129,5.45742299839032e-19,3.59037795260768e-16
"ENSMUSG00000079227.10_Ccr5","Ccr5",2266.15357262052,2.99173807758193,0.337259770581342,8.8707232185594,7.26723748874881e-19,4.65181764009532e-16
"ENSMUSG00000079363.7_Gbp4","Gbp4",5512.38490652476,4.34407248551957,0.490116846548565,8.86334047913436,7.76519739101983e-19,4.83976144760299e-16
"ENSMUSG00000037405.8_Icam1","Icam1",1151.55637677264,3.13783903768909,0.355131869521575,8.83570106483631,9.94724488345661e-19,6.04078327743042e-16
"ENSMUSG00000018899.16_Irf1","Irf1",3238.69860851134,2.69849121751495,0.306297976457632,8.81001973543307,1.25123828765939e-18,7.25130369404168e-16
"ENSMUSG00000031497.9_Tnfsf13b","Tnfsf13b",153.536694764404,2.87254690694756,0.326067958297563,8.80965710935063,1.2552923976343e-18,7.25130369404168e-16
"ENSMUSG00000022504.10_Ciita","Ciita",2165.28556539484,3.33604276318836,0.378968272631101,8.80296057510798,1.3325338108744e-18,7.26584735720845e-16
"ENSMUSG00000027863.8_Cd2","Cd2",279.999520592127,3.68853631974082,0.419199941751095,8.79899053500092,1.38052326918755e-18,7.26584735720845e-16
"ENSMUSG00000048521.8_Cxcr6","Cxcr6",454.791973303772,4.34888626312879,0.494146107247661,8.80081052818892,1.35831512790388e-18,7.26584735720845e-16
"ENSMUSG00000068606.6_Gm4841","Gm4841",461.762114609735,3.4750156147867,0.394772520678045,8.80257726352927,1.33709445270965e-18,7.26584735720845e-16
"ENSMUSG00000020395.13_Itk","Itk",361.09427835888,3.79337935689458,0.433817381329372,8.74418481175261,2.24631515311517e-18,1.15655930622565e-15
