"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
946.795788993106,5.07086948626504,0.49389839014294,10.2670297929043,9.92122439024039e-25,2.34974278458453e-20,"ENSMUSG00000016283.13_H2-M2"
228.868409772081,3.73276464309152,0.370798653025837,10.0668236322623,7.74386792297667e-24,9.17028839438897e-20,"ENSMUSG00000026009.14_Icos"
361.09427835888,3.66403436176843,0.376136182312689,9.74124408675593,2.01077367353223e-22,1.58743878946458e-18,"ENSMUSG00000020395.13_Itk"
748.586565486928,5.14655296780589,0.531330752606258,9.6861567725212,3.45277427391038e-22,2.04438764758233e-18,"ENSMUSG00000022126.6_Acod1"
162.831644203117,-3.67599350237672,0.384338102699915,-9.56447845413568,1.12768607428018e-21,5.34162339665036e-18,"ENSMUSG00000047842.7_Diras2"
5512.38490652476,3.98549142045822,0.421916770436604,9.44615549728918,3.51504319042398e-21,1.38750471536669e-17,"ENSMUSG00000079363.7_Gbp4"
317.04555202485,4.4573375246504,0.474215947565151,9.39938344025857,5.48837309239629e-21,1.85695183314734e-17,"ENSMUSG00000030167.15_Klrc1"
540.361487039486,3.39624714998228,0.3626787847909,9.36433916844725,7.65276694568974e-21,2.26560165427145e-17,"ENSMUSG00000056290.16_Ms4a4b"
170.033212940112,4.092696248776,0.440568832739384,9.28957280824495,1.54908806412949e-20,4.07651130120476e-17,"ENSMUSG00000071716.5_Apol7e"
718.939084196789,6.34930230135688,0.69233764374512,9.17081767648956,4.69444487154426e-20,1.11183232337654e-16,"ENSMUSG00000022586.11_Ly6i"
1384.92485067993,3.38893108305721,0.372872229917748,9.08871943562215,1.00212352812841e-19,2.15766305819939e-16,"ENSMUSG00000030830.18_Itgal"
498.43648595101,3.97784364796655,0.438639642376111,9.06859130747639,1.20565610075787e-19,2.37956325752913e-16,"ENSMUSG00000053541.3_Gm4759"
1355.07477225579,3.02982642079038,0.334717510973549,9.05189098705329,1.40513543009353e-19,2.55994057894887e-16,"ENSMUSG00000105504.4_Gbp5"
4886.13312311318,3.13131799911926,0.350395861140184,8.93651537130028,4.01635268644476e-19,6.79452121612556e-16,"ENSMUSG00000029417.9_Cxcl9"
134.741314292008,2.49763436267564,0.28194651317214,8.8585396378026,8.10694130767094e-19,1.28003198620586e-15,"ENSMUSG00000041954.18_Tnfrsf18"
797.550682851354,3.78728288423921,0.427900708265317,8.85084509346249,8.6859048245473e-19,1.28573106165361e-15,"ENSMUSG00000105096.1_Gbp10"
124.889936180994,3.52611552864834,0.399643928571966,8.8231429944353,1.1129108595329e-18,1.55048122336337e-15,"ENSMUSG00000001444.2_Tbx21"
103.09084865004,3.48470899861163,0.395600331215982,8.80866046775153,1.26650165690803e-18,1.66643473567832e-15,"ENSMUSG00000063354.7_Slc39a4"
236.029519578964,3.87380589226232,0.440647457174287,8.79116815311641,1.480128406653e-18,1.84501900964051e-15,"ENSMUSG00000049109.15_Themis"
1677.57041421326,5.68597412880726,0.648543199480741,8.76730206000118,1.82998359651571e-18,2.1670665749939e-15,"ENSMUSG00000020826.8_Nos2"
124.866707816113,2.92427601880552,0.333982597549019,8.75577362493061,2.02708212739528e-18,2.28616252882047e-15,"ENSMUSG00000005763.15_Cd247"
547.465448823329,3.38340503652327,0.386787567168903,8.74745034150956,2.18227352421816e-18,2.34931664307195e-15,"ENSMUSG00000039264.9_Gimap3"
3145.97962920313,1.68037511347243,0.19255372573817,8.7267857686502,2.62012738745057e-18,2.69804769758171e-15,"ENSMUSG00000038156.16_Spon1"
11083.5266374016,2.6226776429722,0.300726458435473,8.7211403233911,2.75413860586826e-18,2.717875780891e-15,"ENSMUSG00000045868.12_Gvin1"
4360.71432962246,2.60168644064557,0.299112317596605,8.69802508151572,3.37709907381183e-18,3.19932857856638e-15,"ENSMUSG00000063286.7_Gm8995"
607.251753220419,2.48598425077467,0.286392339082071,8.68034479812767,3.94570811991107e-18,3.59256009372104e-15,"ENSMUSG00000027347.18_Rasgrp1"
525.627577671988,-1.03849436184146,0.119695924542383,-8.676104602657,4.09555491177453e-18,3.59256009372104e-15,"ENSMUSG00000055067.15_Smyd3"
160.59094565884,3.0695581411877,0.355761835070126,8.62812656838991,6.23650443983414e-18,5.275191826894e-15,"ENSMUSG00000024669.8_Cd5"
454.791973303772,3.68223658639485,0.427652481211819,8.61034776639356,7.28392682919105e-18,5.94870769043313e-15,"ENSMUSG00000048521.8_Cxcr6"
251.493764306083,2.97295604610442,0.346298792684011,8.58494487682829,9.08799940065272e-18,6.94323154209868e-15,"ENSMUSG00000024399.5_Ltb"
424.614570904605,3.81435138174877,0.444234475212011,8.58634706351498,8.97781879900069e-18,6.94323154209868e-15,"ENSMUSG00000026070.15_Il18r1"
276.50058839892,3.36956860652915,0.393648024357481,8.55985143588365,1.13013057259842e-17,8.11091287315788e-15,"ENSMUSG00000024670.17_Cd6"
962.83758166034,5.0047190546521,0.584461604615263,8.56295608664762,1.10009842735384e-17,8.11091287315788e-15,"ENSMUSG00000079186.3_Gzmc"
987.486591367709,3.7595656247191,0.440036454592034,8.54375946693932,1.29924329267406e-17,9.05037592461544e-15,"ENSMUSG00000034438.16_Gbp8"
451.903313766128,3.13290688853596,0.367165407336309,8.5326853400063,1.42989214116366e-17,9.6429079058822e-15,"ENSMUSG00000000409.14_Lck"
279.999520592127,3.10307781383102,0.36385121829639,8.52842496545739,1.48353675009471e-17,9.6429079058822e-15,"ENSMUSG00000027863.8_Cd2"
461.762114609735,2.91150384892428,0.341459233766587,8.52665138619305,1.50644989240686e-17,9.6429079058822e-15,"ENSMUSG00000068606.6_Gm4841"
382.089453802913,3.4261861314499,0.402780487627354,8.50633592414674,1.79516348489243e-17,1.11885926253138e-14,"ENSMUSG00000024910.5_Ctsw"
556.657919367045,3.28238044092815,0.386803950604514,8.48590205916538,2.14051678135336e-17,1.29989742178392e-14,"ENSMUSG00000052142.15_Rasal3"
180.202349367789,3.39527547440331,0.401921158581996,8.44761566268885,2.97312260020163e-17,1.76038589157938e-14,"ENSMUSG00000042345.15_Ubash3a"
9935.24189983871,2.62610761647127,0.310980734179433,8.44459906302757,3.05090750305869e-17,1.76238276347419e-14,"ENSMUSG00000078606.8_Gm4070"
2165.28556539484,2.75380892388584,0.326426193094326,8.43623760024088,3.27716244292797e-17,1.84800750710252e-14,"ENSMUSG00000022504.10_Ciita"
323.166622468738,3.16630395899396,0.375998243944939,8.42106049691454,3.73091540449291e-17,2.05495349860489e-14,"ENSMUSG00000018168.8_Ikzf3"
251.813832376033,4.15798222368505,0.495089659204976,8.39844288075418,4.5243794667644e-17,2.435350074792e-14,"ENSMUSG00000022534.14_Mefv"
131.357527183595,3.58046790300222,0.428093645161316,8.36374924849215,6.07559762980613e-17,3.1976545392073e-14,"ENSMUSG00000095649.3_Gm8979"
247.576430134108,3.37433693197252,0.403614542565402,8.36029571810023,6.2561239316882e-17,3.22108780865442e-14,"ENSMUSG00000026770.5_Il2ra"
309.55121586786,2.95483680069102,0.354136750711277,8.34377340040617,7.19568101656508e-17,3.62601083396441e-14,"ENSMUSG00000000486.13_Sept1"
338.903941354846,3.03447301003168,0.363875912156097,8.33930718868233,7.47270540433104e-17,3.68715739158701e-14,"ENSMUSG00000047415.12_Gpr68"
373.814381703684,4.222144839576,0.507445178375193,8.32039601419614,8.76698974895182e-17,4.1527477042835e-14,"ENSMUSG00000027398.13_Il1b"
211.626294633971,4.64179371647494,0.557759391589451,8.32221525351134,8.6334339489267e-17,4.1527477042835e-14,"ENSMUSG00000052270.7_Fpr2"
313.668067951276,2.63530039697261,0.317316844720192,8.30494958216417,9.98618422571723e-17,4.59940260460924e-14,"ENSMUSG00000038037.5_Socs1"
457.166856078992,3.6060655412003,0.434276139683899,8.30362345908546,1.00983337037528e-16,4.59940260460924e-14,"ENSMUSG00000053977.13_Cd8a"
6364.21592101894,2.60545767107848,0.313989438854389,8.29791498906671,1.05954448361684e-16,4.73476444339269e-14,"ENSMUSG00000104713.4_Gbp6"
2200.0722856481,2.08049836953216,0.250924060430699,8.29134665667807,1.1197342140452e-16,4.91107131952714e-14,"ENSMUSG00000029298.15_Gbp9"
503.507708690738,4.4475129266146,0.536886111593693,8.28390384957548,1.19201860868681e-16,5.13304885966152e-14,"ENSMUSG00000016498.10_Pdcd1lg2"
931.249485306381,2.58773504422705,0.313299498281172,8.25962077317045,1.46136004607897e-16,6.1805091663097e-14,"ENSMUSG00000024737.2_Slc15a3"
232.139842712621,4.52041389972496,0.547900361528626,8.25043058397176,1.57824830945568e-16,6.47025819280405e-14,"ENSMUSG00000035186.6_Ubd"
1321.30498824361,2.96038391945903,0.35883626222924,8.24995751841771,1.58450842417934e-16,6.47025819280405e-14,"ENSMUSG00000068227.9_Il2rb"
998.84467209446,4.21266416472657,0.510950218232713,8.24476439074132,1.65485965195876e-16,6.64299932152395e-14,"ENSMUSG00000009292.18_Trpm2"
527.233208967746,5.15192069297017,0.628295862888449,8.19983227214862,2.40722662926053e-16,9.38164812240675e-14,"ENSMUSG00000030142.10_Clec4e"
329.433266746618,2.54670679207854,0.310597515662504,8.19937914392657,2.41631707256718e-16,9.38164812240675e-14,"ENSMUSG00000042351.9_Grap2"
134.387477660028,3.8018441520636,0.466229514504203,8.15444761386794,3.50779420196984e-16,1.33997738515248e-13,"ENSMUSG00000051998.14_Lax1"
1068.21568485124,4.60285342708427,0.564967952032922,8.14710535442202,3.72738923373305e-16,1.40126169224974e-13,"ENSMUSG00000098934.1_Gm18853"
267.157564844206,2.43181653063712,0.298658725096491,8.14245935675057,3.87328540622701e-16,1.43335768064188e-13,"ENSMUSG00000048852.13_Gm12185"
567.115800169168,2.70173913076083,0.333166503242069,8.10927600605102,5.09222585143545e-16,1.85545041639073e-13,"ENSMUSG00000030149.15_Klrk1"
332.529983555481,2.59172836857606,0.320030915196118,8.09836876849169,5.57010057524503e-16,1.99882215188035e-13,"ENSMUSG00000030187.15_Klra2"
877.966535992976,-1.0273080778174,0.126999308670587,-8.08908401605598,6.01150958666651e-16,2.12502377687477e-13,"ENSMUSG00000026571.12_Dcaf6"
194.005136944572,3.05850621368916,0.378778880455549,8.0746482222313,6.76714526184364e-16,2.35695688796331e-13,"ENSMUSG00000030742.7_Lat"
950.134995696364,2.3578048905247,0.293237839669727,8.04058880388797,8.94078084890773e-16,3.06889063225407e-13,"ENSMUSG00000031304.18_Il2rg"
405.50802351791,3.79893268743679,0.473188991543407,8.02836235696387,9.87823551900612e-16,3.34223042903059e-13,"ENSMUSG00000015437.5_Gzmb"
83.8858972062411,2.19667503557029,0.273838197209949,8.02179921556422,1.0420737898951e-15,3.47612332955994e-13,"ENSMUSG00000029254.16_Stap1"
1392.84757653153,2.52194921057721,0.315020796332011,8.00565943563689,1.18828164783405e-15,3.88494041368679e-13,"ENSMUSG00000041481.16_Serpina3g"
581.650414559508,2.78129760859188,0.34745741339662,8.00471511430107,1.19743561137956e-15,3.88494041368679e-13,"ENSMUSG00000066363.12_Serpina3f"
90.2487457489808,2.95341195462092,0.369304598018916,7.99722497489632,1.2725460033443e-15,4.07283507340627e-13,"ENSMUSG00000079563.10_Pglyrp2"
417.3865548864,2.57101791266179,0.32178041023109,7.98997648991557,1.34964489285658e-15,4.2619986189887e-13,"ENSMUSG00000028874.14_Fgr"
1162.24092445327,2.49749064373304,0.312692956312726,7.98703838162341,1.3821906837045e-15,4.30734265169176e-13,"ENSMUSG00000028064.17_Sema4a"
1109.31782380276,2.70606710489425,0.340193766075017,7.95448763249098,1.79874339278368e-15,5.53265435255698e-13,"ENSMUSG00000049313.8_Sorl1"
1028.32685186107,2.91802457313356,0.367658449463206,7.93678093729105,2.07496053809461e-15,6.30043145951702e-13,"ENSMUSG00000038179.13_Slamf7"
139.330470553042,2.7837839745955,0.350969203977639,7.9317043861571,2.1615848382828e-15,6.39937191373623e-13,"ENSMUSG00000034987.4_Hrh2"
18.8528643821777,-3.04645663792027,0.384044718915986,-7.93255703793888,2.14679065534325e-15,6.39937191373623e-13,"ENSMUSG00000068617.5_Efcab1"
778.973125961304,1.98795826724459,0.251802253656677,7.89491848613515,2.9050504013425e-15,8.49422391424639e-13,"ENSMUSG00000002699.13_Lcp2"
927.997119483423,3.16663273599751,0.401510335065515,7.88680255386403,3.10027337976938e-15,8.95449691786074e-13,"ENSMUSG00000001281.10_Itgb7"
233.017141031083,1.808839921512,0.229487445909625,7.88208659668619,3.21958759692043e-15,9.18707381270644e-13,"ENSMUSG00000020227.10_Irak3"
407.367213322584,2.44158997309786,0.310005549198275,7.87595570276795,3.38148035468893e-15,9.53416437148247e-13,"ENSMUSG00000051735.7_Rinl"
286.894119137618,3.02779712045595,0.385795863424963,7.84818451285665,4.22102894764799e-15,1.176127642307e-12,"ENSMUSG00000002033.14_Cd3g"
98.8097727050499,2.36241176509378,0.301267699263479,7.84157004175774,4.44947623583178e-15,1.22536506010977e-12,"ENSMUSG00000029449.11_Rhof"
397.254348256365,2.24241555782538,0.28617361981875,7.83585698516035,4.65655653930248e-15,1.253248694055e-12,"ENSMUSG00000023274.14_Cd4"
398.948868870923,2.9778311647508,0.379995373607393,7.8364932090659,4.63303394874036e-15,1.253248694055e-12,"ENSMUSG00000028859.14_Csf3r"
1381.62780576116,2.18442290726301,0.279052509474445,7.8279995094008,4.95693872870074e-15,1.31673441005865e-12,"ENSMUSG00000032089.16_Il10ra"
2358.03312325151,-0.678819127814178,0.0867298727661145,-7.82682028883817,5.00363523498053e-15,1.31673441005865e-12,"ENSMUSG00000041720.14_Pi4ka"
2266.15357262052,2.27155175749404,0.290489728760584,7.81973175845473,5.29360169206853e-15,1.37773255466979e-12,"ENSMUSG00000079227.10_Ccr5"
202.561758222851,3.4868473862159,0.446128292064545,7.81579525046448,5.46170938200752e-15,1.40603396742898e-12,"ENSMUSG00000044309.8_Apol7c"
470.156088077967,2.72790369376553,0.349564070680643,7.80373019588077,6.01036184681222e-15,1.53063881698818e-12,"ENSMUSG00000027843.13_Ptpn22"
9489.63418768475,2.76128300383191,0.35410214381026,7.79798442935014,6.29037688117095e-15,1.58490729844311e-12,"ENSMUSG00000028270.12_Gbp2"
284.744854338511,2.25929385638069,0.289860567759125,7.79441603198047,6.47070251981122e-15,1.61318019451799e-12,"ENSMUSG00000029204.7_Rhoh"
5711.69847319638,2.33603699068007,0.300325779144116,7.77834322893436,7.34804857011284e-15,1.81282481598492e-12,"ENSMUSG00000026395.16_Ptprc"
323.689840077061,2.56152629842586,0.329478251728164,7.77449280791754,7.57502942614461e-15,1.84955666936916e-12,"ENSMUSG00000022439.9_Parvg"
153.536694764404,2.21309097675322,0.284965898833364,7.76616074349073,8.09008713475344e-15,1.95515942550511e-12,"ENSMUSG00000031497.9_Tnfsf13b"
3238.69860851134,2.04474174133839,0.263740838439981,7.75284462365774,8.98565394981e-15,2.14965887017475e-12,"ENSMUSG00000018899.16_Irf1"
4209.89582724528,1.92884364522511,0.249022023133721,7.74567494453832,9.50754498257738e-15,2.25176695367363e-12,"ENSMUSG00000027639.16_Samhd1"
344.821771732811,2.80176563274384,0.361943596531456,7.74089018176713,9.87231435684026e-15,2.31500884383569e-12,"ENSMUSG00000056145.5_AI504432"
47.9893775585248,-3.44478653830165,0.445472269865079,-7.73288658201998,1.05134958955555e-14,2.44119251755231e-12,"ENSMUSG00000032172.8_Olfm2"
653.087840665511,3.06586838369427,0.396548874244334,7.73137583491219,1.06390414180769e-14,2.44635977617217e-12,"ENSMUSG00000038677.14_Scube3"
111.221166865696,3.40492879214762,0.440710964818866,7.72599064683371,1.10986779033881e-14,2.5275104563831e-12,"ENSMUSG00000046080.17_Clec9a"
181.614762001993,2.49547511953649,0.323303580146876,7.71867456092756,1.17545598779651e-14,2.65138091571167e-12,"ENSMUSG00000090019.5_Gimap1"
160.808967727346,3.37382770913655,0.437190751692777,7.7170610221586,1.19042668002831e-14,2.65981749903684e-12,"ENSMUSG00000047959.4_Kcna3"
49.9748411652167,4.58795233586234,0.595227774683442,7.70789356780661,1.27911350643655e-14,2.83126395200404e-12,"ENSMUSG00000024402.5_Lta"
155.261010571299,3.06880132042074,0.3982221171134,7.70625534981738,1.29563260469771e-14,2.84127431570932e-12,"ENSMUSG00000061414.8_Cracr2a"
195.187359745642,3.2240328538321,0.418889979717911,7.69661011228587,1.39723399200367e-14,3.03597154739586e-12,"ENSMUSG00000032093.7_Cd3e"
831.09123976299,1.78640130532376,0.232276612106413,7.69083589227378,1.461768310924e-14,3.14732006144764e-12,"ENSMUSG00000035208.16_Slfn8"
1151.55637677264,2.35205062317712,0.306189937866291,7.6816718392759,1.57025662572039e-14,3.35044665978034e-12,"ENSMUSG00000037405.8_Icam1"
6968.95459100639,9.0653213066651,1.18084224940826,7.67699606887191,1.62862427063307e-14,3.44395868086373e-12,"ENSMUSG00000040809.10_Chil3"
269.041737762767,3.21944648591886,0.419793802474391,7.66911390054467,1.73188595611949e-14,3.62991035263133e-12,"ENSMUSG00000021298.8_Gpr132"
1300.21780243843,1.81428752850107,0.236850638781636,7.66004912561688,1.85861975034191e-14,3.86136404974543e-12,"ENSMUSG00000057315.14_Arhgap24"
406.461968808336,3.19421642549583,0.417675772636457,7.64759805275099,2.0476809730308e-14,4.19066850798434e-12,"ENSMUSG00000001588.12_Acap1"
30745.0727257631,3.82786122294184,0.500551023254087,7.6472947713839,2.0525145538177e-14,4.19066850798434e-12,"ENSMUSG00000024164.15_C3"
685.559851982344,2.24218431951287,0.293690455614403,7.63451544525751,2.26671316416054e-14,4.58844739999813e-12,"ENSMUSG00000006731.10_B4galnt1"
945.800080978242,2.53406623005875,0.332091901294483,7.63061736880979,2.3363215073293e-14,4.68927445589721e-12,"ENSMUSG00000026979.16_Psd4"
407.486295071353,2.21285117663937,0.290130421346792,7.62709117633119,2.40109778804572e-14,4.7389666676729e-12,"ENSMUSG00000049744.15_Arhgap15"
249.267917636723,3.30221864752488,0.432936567843921,7.62748839621089,2.39371345732643e-14,4.7389666676729e-12,"ENSMUSG00000104291.1_A130071D04Rik"
195.623442167563,3.22697142623908,0.423423774484773,7.62113896454137,2.51447062789066e-14,4.92171259098864e-12,"ENSMUSG00000057058.16_Skap1"
18293.5400503942,2.69851604417181,0.354495685466237,7.61226766588905,2.69328055813305e-14,5.22849645400191e-12,"ENSMUSG00000060586.11_H2-Eb1"
621.640881771118,2.02344346232855,0.266059885315806,7.60521812571172,2.84423769233273e-14,5.47666061017954e-12,"ENSMUSG00000023947.8_Nfkbie"
133.690069538033,3.76226180077498,0.494989155451405,7.60069540784988,2.94543636838914e-14,5.62578346362326e-12,"ENSMUSG00000091575.2_2010016I18Rik"
189.519459592498,2.29227796166372,0.301754592289597,7.59649735326576,3.04253520167141e-14,5.75054486403763e-12,"ENSMUSG00000014602.15_Kif1a"
761.913295299964,1.90430599464501,0.250705615251753,7.59578517111691,3.05931706159746e-14,5.75054486403763e-12,"ENSMUSG00000020573.17_Pik3cg"
476.520498584917,3.50597122997806,0.46220162670826,7.58537189699468,3.31534737503158e-14,6.18273127797228e-12,"ENSMUSG00000040829.14_Zmynd15"
3827.84956686494,2.22695720814495,0.294446237507901,7.56320483832027,3.93257568117329e-14,7.27649394007095e-12,"ENSMUSG00000060550.16_H2-Q7"
160.599261460576,2.84340887170193,0.376643133384063,7.54934477672397,4.3745341316641e-14,8.03150902126608e-12,"ENSMUSG00000055994.15_Nod2"
1743.15592247791,3.31897544558971,0.439833888582225,7.54597481401035,4.48916807146103e-14,8.17857358496024e-12,"ENSMUSG00000075010.5_AW112010"
165.041341053911,3.05379898326501,0.404873634319663,7.54259779942578,4.6070036959494e-14,8.32918133853937e-12,"ENSMUSG00000032776.9_Mctp2"
354.386599543022,2.65102465139851,0.351663269538256,7.53853154717973,4.75293009636966e-14,8.52790881836507e-12,"ENSMUSG00000030577.14_Cd22"
93.8641256530504,2.49054814128715,0.33044067423693,7.53705077935231,4.80719176145702e-14,8.56041576528933e-12,"ENSMUSG00000036931.15_Nfkbid"
